year,name,data
2018,DP05_0020E,262185951
2017,DP05_0020E,260564248
2016,DP05_0020E,60676451
2015,DP05_0020E,58839989
2014,DP05_0020E,57051935
2013,DP05_0020E,55179308
2012,DP05_0020E,53566283
2011,DP05_0020E,51897727
2010,DP05_0020E,50290332
2019,DP05_0021E,255271738
2018,DP05_0021E,253815197
2017,DP05_0021E,252070495
2016,DP05_0021E,49215165
2015,DP05_0021E,47732480
2014,DP05_0021E,46214893
2013,DP05_0021E,44663990
2012,DP05_0021E,43140477
2011,DP05_0021E,41385026
2010,DP05_0021E,40433525
2019,DP05_0022E,241886206
2018,DP05_0022E,240352655
2017,DP05_0022E,238648563
2016,DP05_0022E,249489772
2015,DP05_0022E,247789111
2014,DP05_0022E,245279633
2013,DP05_0022E,242542227
2012,DP05_0022E,240203630
2011,DP05_0022E,237681218
2010,DP05_0022E,235184324
2019,DP05_0025E,255271738
2018,DP05_0025E,253815197
2017,DP05_0025E,252070495
2016,DP05_0025E,49215165
2015,DP05_0025E,47732480
2014,DP05_0025E,46214893
2013,DP05_0025E,44663990
2012,DP05_0025E,43140477
2011,DP05_0025E,41385026
2010,DP05_0025E,40433525
2019,DP05_0028E,94.9
2018,DP05_0028E,94.9
2017,DP05_0028E,94.9
2016,DP05_0028E,323127515
2015,DP05_0028E,321418821
2014,DP05_0028E,318857056
2013,DP05_0028E,316128839
2012,DP05_0028E,313914040
2011,DP05_0028E,311591919
2010,DP05_0028E,309349689
2019,DP05_0031E,30029747
2018,DP05_0031E,29132216
2017,DP05_0031E,28295263
2016,DP05_0031E,312701080
2015,DP05_0031E,311437291
2014,DP05_0031E,309251285
2013,DP05_0031E,306759298
2012,DP05_0031E,304840426
2011,DP05_0031E,302870101
2010,DP05_0031E,300951321
2019,DP05_0032E,80.1
2018,DP05_0032E,79.9
2017,DP05_0032E,79.6
2016,DP05_0032E,234644039
2015,DP05_0032E,234940100
2014,DP05_0032E,233963128
2013,DP05_0032E,232969901
2012,DP05_0032E,231992377
2011,DP05_0032E,230838975
2010,DP05_0032E,229397472
2019,DP05_0033E,328239523
2018,DP05_0033E,327167439
2017,DP05_0033E,325719178
2016,DP05_0033E,40893369
2015,DP05_0033E,40695277
2014,DP05_0033E,40379066
2013,DP05_0033E,39919371
2012,DP05_0033E,39623138
2011,DP05_0033E,39189528
2010,DP05_0033E,38874625
2019,DP05_0034E,316930628
2018,DP05_0034E,315887408
2017,DP05_0034E,315003713
2016,DP05_0034E,2676399
2015,DP05_0034E,2597249
2014,DP05_0034E,2601714
2013,DP05_0034E,2521131
2012,DP05_0034E,2563505
2011,DP05_0034E,2547006
2010,DP05_0034E,2553566
2019,DP05_0035E,11308895
2018,DP05_0035E,11280031
2017,DP05_0035E,10715465
2016,DP05_0035E,287748
2015,DP05_0035E,284858
2014,DP05_0035E,282867
2013,DP05_0035E,279419
2012,DP05_0035E,276381
2011,DP05_0035E,266224
2010,DP05_0035E,285476
2019,DP05_0036E,316930628
2018,DP05_0036E,315887408
2017,DP05_0036E,315003713
2016,DP05_0036E,126524
2015,DP05_0036E,115280
2014,DP05_0036E,115987
2013,DP05_0036E,111939
2012,DP05_0036E,113262
2011,DP05_0036E,119868
2010,DP05_0036E,115859
2019,DP05_0037E,236475401
2018,DP05_0037E,236173020
2017,DP05_0037E,235507457
2016,DP05_0037E,314679
2015,DP05_0037E,323757
2014,DP05_0037E,320603
2013,DP05_0037E,304744
2012,DP05_0037E,312039
2011,DP05_0037E,305559
2010,DP05_0037E,308013
2019,DP05_0038E,41989671
2018,DP05_0038E,41617764
2017,DP05_0038E,41393491
2016,DP05_0038E,126015
2015,DP05_0038E,117019
2014,DP05_0038E,125790
2013,DP05_0038E,126485
2012,DP05_0038E,121503
2011,DP05_0038E,129382
2010,DP05_0038E,131048
2019,DP05_0039E,2847336
2018,DP05_0039E,2801587
2017,DP05_0039E,2726278
2016,DP05_0039E,17556935
2015,DP05_0039E,17273777
2014,DP05_0039E,16686960
2013,DP05_0039E,16012120
2012,DP05_0039E,15555530
2011,DP05_0039E,15020419
2010,DP05_0039E,14728302
2019,DP05_0040E,289234
2018,DP05_0040E,291100
2017,DP05_0040E,291434
2016,DP05_0040E,3813407
2015,DP05_0040E,3699957
2014,DP05_0040E,3491052
2013,DP05_0040E,3189485
2012,DP05_0040E,3049201
2011,DP05_0040E,2908204
2010,DP05_0040E,2765155
2019,DP05_0041E,126987
2018,DP05_0041E,117802
2017,DP05_0041E,118195
2016,DP05_0041E,4214856
2015,DP05_0041E,4133674
2014,DP05_0041E,3941615
2013,DP05_0041E,3781673
2012,DP05_0041E,3660659
2011,DP05_0041E,3520150
2010,DP05_0041E,3456912
2019,DP05_0042E,340669
2018,DP05_0042E,336207
2017,DP05_0042E,329207
2016,DP05_0042E,2811885
2015,DP05_0042E,2848148
2014,DP05_0042E,2770918
2013,DP05_0042E,2664606
2012,DP05_0042E,2658354
2011,DP05_0042E,2538325
2010,DP05_0042E,2512686
2019,DP05_0043E,119004
2018,DP05_0043E,120876
2017,DP05_0043E,112575
2016,DP05_0043E,789830
2015,DP05_0043E,757468
2014,DP05_0043E,759056
2013,DP05_0043E,794441
2012,DP05_0043E,780210
2011,DP05_0043E,756898
2010,DP05_0043E,774600
2019,DP05_0044E,18636984
2018,DP05_0044E,18415198
2017,DP05_0044E,18215328
2016,DP05_0044E,1438915
2015,DP05_0044E,1460483
2014,DP05_0044E,1476577
2013,DP05_0044E,1446592
2012,DP05_0044E,1450401
2011,DP05_0044E,1449876
2010,DP05_0044E,1456076
2019,DP05_0045E,4240466
2018,DP05_0045E,4161088
2017,DP05_0045E,4094539
2016,DP05_0045E,1803575
2015,DP05_0045E,1738848
2014,DP05_0045E,1714143
2013,DP05_0045E,1692760
2012,DP05_0045E,1675246
2011,DP05_0045E,1669447
2010,DP05_0045E,1625365
2019,DP05_0046E,4404678
2018,DP05_0046E,4395912
2017,DP05_0046E,4344981
2016,DP05_0046E,2684467
2015,DP05_0046E,2635199
2014,DP05_0046E,2533599
2013,DP05_0046E,2442563
2012,DP05_0046E,2281459
2011,DP05_0046E,2177519
2010,DP05_0046E,2137508
2019,DP05_0047E,2983596
2018,DP05_0047E,2920160
2017,DP05_0047E,2911668
2016,DP05_0047E,595986
2015,DP05_0047E,554946
2014,DP05_0047E,557154
2013,DP05_0047E,525750
2012,DP05_0047E,543198
2011,DP05_0047E,506017
2010,DP05_0047E,507916
2019,DP05_0048E,755672
2018,DP05_0048E,782776
2017,DP05_0048E,770546
2016,DP05_0048E,178874
2015,DP05_0048E,176482
2014,DP05_0048E,180203
2013,DP05_0048E,179489
2012,DP05_0048E,175299
2011,DP05_0048E,156239
2010,DP05_0048E,157029
2019,DP05_0049E,1461843
2018,DP05_0049E,1468279
2017,DP05_0049E,1477282
2016,DP05_0049E,82398
2015,DP05_0049E,78522
2014,DP05_0049E,73811
2013,DP05_0049E,63655
2012,DP05_0049E,72738
2011,DP05_0049E,64192
2010,DP05_0049E,72807
2019,DP05_0050E,1873707
2018,DP05_0050E,1862395
2017,DP05_0050E,1826998
2016,DP05_0050E,119605
2015,DP05_0050E,120019
2014,DP05_0050E,114288
2013,DP05_0050E,105235
2012,DP05_0050E,103079
2011,DP05_0050E,108849
2010,DP05_0050E,114796
2019,DP05_0051E,2917022
2018,DP05_0051E,2824588
2017,DP05_0051E,2789314
2016,DP05_0051E,215109
2015,DP05_0051E,179923
2014,DP05_0051E,188852
2013,DP05_0051E,177371
2012,DP05_0051E,192082
2011,DP05_0051E,176737
2010,DP05_0051E,163284
2019,DP05_0052E,628683
2018,DP05_0052E,626054
2017,DP05_0052E,608219
2016,DP05_0052E,16334352
2015,DP05_0052E,15375942
2014,DP05_0052E,15063263
2013,DP05_0052E,14811025
2012,DP05_0052E,14562678
2011,DP05_0052E,14768156
2010,DP05_0052E,14889440
2019,DP05_0053E,198734
2018,DP05_0053E,186996
2017,DP05_0053E,191739
2016,DP05_0053E,10426435
2015,DP05_0053E,9981530
2014,DP05_0053E,9605771
2013,DP05_0053E,9369541
2012,DP05_0053E,9073614
2011,DP05_0053E,8721818
2010,DP05_0053E,8398368
